word,where,inscription,corpus_id,reading,meaning,confidence,group,allowance,note,root,root_kind,languages
A-KA-NU,"Appendix A, p.36",KN Zc 7,KNZc7,ʾagānu,bowl,CONFIRMED,different word breaks,,"corpus writes it inside the longer word A-KA-NU-ZA-TI; root copied from the comparandum ""Hebrew/Aramaic ʾaggan"" (p.36); the paper prints no radical sign here",ʾ-g-n,from comparison word,Aramaic | Hebrew
ZA-TI,"Appendix A, p.36",KN Zc 7,KNZc7,ḏāti,of (fs genitive relative),PROBABLE,different word breaks,,"corpus writes it inside the longer word A-KA-NU-ZA-TI; the paper compares the relative d- to Proto-Semitic t-, a single consonant, not a root",,none,Proto-Semitic
DU-RA-RE,"Appendix A, p.36",KN Zc 7,KNZc7,durar,"freedom, purity",PROBABLE,exact,,,d-r-r,stated,
A-*79-RA,"Appendix A, p.36",KN Zc 7,KNZc7,ʾAṯirat,Athirat (the Goddess),CANDIDATE,"same word, different spelling","AB79: paper writes *79, corpus writes ZU",corpus has A-ZU-RA; the paper gives the divine name ʾAthirat but no root and no comparison word,,none,
JA-SA-RA,"Appendix A, p.36",KN Zc 7,KNZc7,yašara,righteous,PROBABLE,different word breaks,,corpus writes it inside the longer word JA-SA-RA-A-NA-NE,y-š-r,stated,
A-NA-NE,"Appendix A, p.36",KN Zc 7,KNZc7,ḥanān,grace,CANDIDATE,different word breaks,,corpus writes it inside the longer word JA-SA-RA-A-NA-NE,ḥ-n-n,stated,
WI-PI,"Appendix A, p.36",KN Zc 7,KNZc7,wīpī,and my mouth,SPECULATIVE,exact,,the paper segments wa- + pi but gives no root and no comparison word,,none,
*79-DU,"Appendix A (AB79 note), p.36",HT 51b,HT51b,ṯudu,breast,,"same word, different spelling","AB79: paper writes *79, corpus writes ZU","corpus has ZU-DU; no root and no comparison word at this point; Ugaritic td ""breast"" is cited in n.28 (p.17) for I-TH-DI-SI-KA",,none,
*79-DU,"Appendix A (AB79 note), p.36",HT 99b,HT99b,ṯudu,breast,,"same word, different spelling","AB79: paper writes *79, corpus writes ZU","corpus has ZU-DU; no root and no comparison word at this point; Ugaritic td ""breast"" is cited in n.28 (p.17) for I-TH-DI-SI-KA",,none,
MA-*79,"Appendix A (AB79 note), p.36",HT 102,HT102,maṯu,man,,"same word, different spelling","AB79: paper writes *79, corpus writes ZU",corpus has MA-ZU,,none,
*79-RI-NI-MA,"Appendix A (AB79 note), p.36",KN Zb 52,KNZb52,Ṯawrinima,"a ""bull"" name",,"same word, different spelling","AB79: paper writes *79, corpus writes ZU",corpus has ZU-RI-NI-MA; no root here; the Appendix B entry for ZU-RI-NI-MA gives v t-w-r for the parallel form,,none,
A-TA-I-*301-WA-JA,"§4.1, pp.4-6",IO Za 2,IOZa2,ʾatainawaya,I make myself a dwelling,,exact,,n.10 (p.5) names v d-w-y as a rejected alternative,n-w-y,stated,Akkadian | Arabic | Geʿez | Greek | Hebrew | Mycenaean Greek | Phoenician | Ugaritic
JA-DI-KI-TU,"§4.2, pp.6-7",IO Za 2,IOZa2,yā Diqqitu,O Diqqitu! (the mountain goddess),,exact,,,d-q-q,stated,Arabic | Greek | Hebrew | Mycenaean Greek | Ugaritic
JA-SA-SA-RA-ME,"§4.3, pp.7-8",IO Za 2,IOZa2,yašāram,in (the spirit of) righteousness,,exact,,the paper also reports Gordon's derivation from v s-l-m and cites v e-s-r for Akkadian Isartu/Misaru (p.8),y-š-r,stated,Akkadian | Amorite | Hebrew
JA-SA-RA,"§4.3, p.8",KN Zc 7,KNZc7,yašar-,"righteous (same root, single SA)",,different word breaks,,"corpus writes it inside the longer word JA-SA-RA-A-NA-NE; p.8 calls it ""the same root ... with a single SA"", referring back to v y-s-r",y-š-r,stated,
SA-SA-RA-ME,"§4.3, p.8",PK Za 11,PKZa11,(yašāram without JA-),"righteousness, JA-less variant",,exact,,p.8 gives it as the JA-less Palaikastro form of the same word,y-š-r,stated,
A-SA-SA-RA,"§4.3, p.8",PK Za 4,PKZa4,(yašāram without JA-),"righteousness, standalone inscription",,exact,,p.8 gives it as the JA-less Palaikastro form of the same word,y-š-r,stated,
I-MI-SA-RA,"§4.3, p.8",HT 27a,HT27a,(Mīšaru),"divine recipient, ""righteousness""",,exact,,p.8 states v e-s-r for Akkadian Isartu and Misaru in the preceding sentence and places I-MI-SA-RA beside them; it does not write the root against I-MI-SA-RA itself,e-š-r,stated,Akkadian
TI-NI-TA,"§4.3, p.8",HT 27a,HT27a,Tinit,the Goddess Tinit,,exact,,"consonants copied from ""the Phoenician Goddess Tinit"" (p.8)",t-n-t,from comparison word,Phoenician
QA-QA-RU,"§4.3 n.13, p.8",HT 118,HT118,qaqqaru,ground,,exact,,"consonants copied from qaqqaru ""ground"" (n.13, p.8); the paper does not say which language qaqqaru belongs to",q-q-r,from comparison word,
QA-QA-RU,"§4.3 n.13, p.8",HT 122b,HT122b,qaqqaru,ground,,exact,,"consonants copied from qaqqaru ""ground"" (n.13, p.8); the paper does not say which language qaqqaru belongs to",q-q-r,from comparison word,
