word,where,paper_root,hebrew_spelling,in_hebrew_list,result,strongs,pieces_removed,rules_used,sound_matches,total_roots_matched,reason
DU-RA-RE,"Appendix A, p.36",d-r-r,d-r-r,no,root not in the Hebrew list,,,,,137,"the paper's root is not a Strong's primitive root, so the matcher cannot find it"
JA-SA-RA,"Appendix A, p.36",y-š-r,y-š-r,yes,found,H3474,(nothing),R01 R06 R09,,180,
A-NA-NE,"Appendix A, p.36",ḥ-n-n,ḥ-n-n,yes,found,H2603,(nothing),R01 R07,,50,
A-TA-I-*301-WA-JA,"§4.1, pp.4-6",n-w-y,n-w-h or n-w-y,yes,found,H5115,A- (R37) + TA- (R39),R01 R02 R25 R37 R39,,184,
JA-DI-KI-TU,"§4.2, pp.6-7",d-q-q,d-q-q,yes,found,H1854,-TU (N01) + JA- (R38),N01 R01 R05 R08 R12 R13 R38,,242,
JA-SA-SA-RA-ME,"§4.3, pp.7-8",y-š-r,y-š-r,yes,found,H3474,-ME (R47),R01 R06 R09 R17 R18 R47,,234,
JA-SA-RA,"§4.3, p.8",y-š-r,y-š-r,yes,found,H3474,(nothing),R01 R06 R09,,180,
SA-SA-RA-ME,"§4.3, p.8",y-š-r,y-š-r,yes,found,H3474,-ME (R47),R01 R06 R09 R17 R18 R47 R62,,211,
A-SA-SA-RA,"§4.3, p.8",y-š-r,y-š-r,yes,found,H3474,(nothing),R01 R02 R06 R09 R17 R18 R62,,189,
I-MI-SA-RA,"§4.3, p.8",e-š-r,e-š-r,no,root not in the Hebrew list,,,,,149,"the paper's root is not a Strong's primitive root, so the matcher cannot find it"
U-NA-KA-NA-SI,"§5.1, p.9",k-n-s,k-n-s,yes,found,H3664,U-NA- (R42),R01 R05 R06 R13 R42,,198,
U-NA-RU-KA-NA-SI,"§5.1, p.9",k-n-s,k-n-s,yes,found,H3664,U-NA- (R42) + RU- (N03),N03 R01 R05 R06 R13 R42,,231,
RA-KI-NI-SE,"§5.1, p.9",k-n-s,k-n-s,yes,found,H3664,RA- (R44),R01 R05 R06 R13 R44,,242,
I-PI-NA-MA,"§5.2, p.10",p-n-y,p-n-h or p-n-y,yes,found,H6437,-MA (R47),R01 R02 R05 R07 R15 R47,,147,
SI-RU-TE,"§5.3, pp.10-11",š-r-t,š-r-t,yes,found,H8334,(nothing),R01 R05 R06 R09 R11,,230,
TA-NA-RA-TE-U-TI-NU,"§6.1, pp.12-13",r-ṣ-y,r-ṣ-h or r-ṣ-y,yes,found,H7521,-NU (R50) + -TI (R49) + TA-NA- (R40),R01 R05 R07 R09 R11 R40 R49 R50,,271,
*301-SI,"§4.1 n.10, p.5",n-ś-ʾ,n-ś-ʾ,yes,found,H5375,(nothing),R01 R06 R07 R25,,105,
TE-*301,"§4.1 n.10, p.5",t-ʾ-n,t-ʾ-n,no,root not in the Hebrew list,,,,,137,"the paper's root is not a Strong's primitive root, so the matcher cannot find it"
NA-TU-*301-NE,"§4.1 n.10, p.5",n-t-n,n-t-n,yes,found,H5414,first part of a compound (N07),N07 R01 R05 R11 R25,,52,
A-TA-I-NA-WA-JA,"§7 table, p.14",n-w-y,n-w-h or n-w-y,yes,found,H5115,A- (R37) + TA- (R39),R01 R02 R37 R39,,184,
JA-DI-KI-TU,"§7 table, p.14",d-q-q,d-q-q,yes,found,H1854,-TU (N01) + JA- (R38),N01 R01 R05 R08 R12 R13 R38,,242,
JA-SA-SA-RA-ME,"§7 table, p.14",y-š-r,y-š-r,yes,found,H3474,-ME (R47),R01 R06 R09 R17 R18 R47,,234,
U-NA-KA-NA-SI,"§7 table, p.14",k-n-s,k-n-s,yes,found,H3664,U-NA- (R42),R01 R05 R06 R13 R42,,198,
I-PI-NA-MA,"§7 table, p.14",p-n-y,p-n-h or p-n-y,yes,found,H6437,-MA (R47),R01 R02 R05 R07 R15 R47,,147,
SI-RU-TE,"§7 table, p.14",š-r-t,š-r-t,yes,found,H8334,(nothing),R01 R05 R06 R09 R11,,230,
TA-NA-RA-TE-U-TI-NU,"§7 table, p.14",r-ṣ-y,r-ṣ-h or r-ṣ-y,yes,found,H7521,-NU (R50) + -TI (R49) + TA-NA- (R40),R01 R05 R07 R09 R11 R40 R49 R50,,271,
SI-KI-NE,"§7, p.14",š-k-n,š-k-n,yes,found,H7931,(nothing),R01 R05 R06 R13,,141,
DU-RA-RE,"§7, p.15",d-r-r,d-r-r,no,root not in the Hebrew list,,,,,137,"the paper's root is not a Strong's primitive root, so the matcher cannot find it"
JA-SA-RA,"§7, p.15",y-š-r,y-š-r,yes,found,H3474,(nothing),R01 R06 R09,,180,
A-TA-I-*301-WA-JA,"§8 table, p.16",n-w-y,n-w-h or n-w-y,yes,found,H5115,A- (R37) + TA- (R39),R01 R02 R25 R37 R39,,184,
JA-DI-KI-TU,"§8 table, p.16",d-q-q,d-q-q,yes,found,H1854,-TU (N01) + JA- (R38),N01 R01 R05 R08 R12 R13 R38,,242,
JA-SA-SA-RA-ME,"§8 table, p.16",y-š-r,y-š-r,yes,found,H3474,-ME (R47),R01 R06 R09 R17 R18 R47,,234,
U-NA-KA-NA-SI,"§8 table, p.16",k-n-s,k-n-s,yes,found,H3664,U-NA- (R42),R01 R05 R06 R13 R42,,198,
I-PI-NA-MA,"§8 table, p.16",p-n-y,p-n-h or p-n-y,yes,found,H6437,-MA (R47),R01 R02 R05 R07 R15 R47,,147,
SI-RU-TE,"§8 table, p.16",š-r-t,š-r-t,yes,found,H8334,(nothing),R01 R05 R06 R09 R11,,230,
TA-NA-RA-TE-U-TI-NU,"§8 table, p.16",r-ṣ-y,r-ṣ-h or r-ṣ-y,yes,found,H7521,-NU (R50) + -TI (R49) + TA-NA- (R40),R01 R05 R07 R09 R11 R40 R49 R50,,271,
TA-NA-I-*301-U-TI-NU,"§8 table, p.16",ʿ-n-y,ʿ-n-h or ʿ-n-y,yes,found,H6030,-NU (R50) + -TI (R49) + TA-NA- (R40),R01 R07 R25 R40 R49 R50,,194,
I-NA-TA,"§8 table, p.16",ʿ-n-y,ʿ-n-h or ʿ-n-y,yes,found,H6030,-TA (N02),N02 R01 R07,,172,
TU-RU-SA,"§8 table, p.16",t-r-s,t-r-s,no,root not in the Hebrew list,,,,,183,"the paper's root is not a Strong's primitive root, so the matcher cannot find it"
DU-*314-RE,"§8 table, p.16",ḥ-r-r,ḥ-r-r,yes,found,H2787,DU- (R46),R01 R08 R09 R29 R46,,113,
A-TA-I-*301-WA-E,"§8 table, p.16",n-w-y,n-w-h or n-w-y,yes,found,H5115,A- (R37) + TA- (R39),R01 R02 R07 R25 R37 R39,,162,
A-DI-KI-TE-TE,"§8 table, p.16",d-q-q,d-q-q,yes,found,H1854,-TE (R52) + -TE (R52),R01 R02 R05 R08 R12 R13 R52,,294,
SA-SA-RA-ME,"§8 table, p.16",y-š-r,y-š-r,yes,found,H3474,-ME (R47),R01 R06 R09 R17 R18 R47 R62,,211,
U-NA-RU-KA-NA-TI,"§8 table, p.16",k-n-s,k-n-s,yes,found,H3664,-TI (R49) + U-NA- (R42) + RU- (N03),N03 R01 R05 R13 R22 R42 R49,,296,
I-PI-NA-MI-NA,"§8 table, p.16",p-n-y,p-n-h or p-n-y,yes,found,H6437,first part of a compound (N07),N07 R01 R02 R05 R07 R15,,99,
